,address,commission_district,date_and_time,flood_depth_measured_here,flood_type,has_this_location_flooded,municipality,flood_depth_measured_here_other,what_properties_are_flooded_oth,water_depth_in_inches,what_properties_are_flooded,zip_code,temperature,atmospheric_pressure,air_humidity,wind_speed,wind_gust,wind_direction,longitude,latitude,horizontal_accuracy,date,geometry
10,NE 16 st & NE 17 ave,4,"Fri, 05 Nov 2021 20:34:31 GMT",road,rainfall_storm_hurricane,often,FORT LAUDERDALE,,,3.0,Public,33305,,,,,,,-80.12609825,26.1480453,,2021-11-05 20:34:31,POINT (-80.126098247 26.1480453030001)
11,,8,"Fri, 05 Nov 2021 20:40:00 GMT",road,rainfall_storm_hurricane,don't_know,FORT LAUDERDALE,,,7.0,Public,33312,,,,,,,-80.14954407,26.12240151,,2021-11-05 20:40:00,POINT (-80.149544066 26.1224015110001)
12,,6,"Fri, 05 Nov 2021 23:54:00 GMT",storm_drain,rainfall_storm_hurricane,yes_it_always_floods_here,HOLLYWOOD,,,4.0,Private,33019,,,,,,,-80.11734701,25.99984251,,2021-11-05 23:54:00,POINT (-80.117347007 25.999842508)
13,,6,"Fri, 05 Nov 2021 20:36:00 GMT",parking_lot,high_tide_tidal_flooding,once_or_twice,HOLLYWOOD,,,6.0,Public,33021,,,,,,,-80.17392985,26.02468664,,2021-11-05 20:36:00,POINT (-80.173929849 26.024686644)
14,,7,"Fri, 05 Nov 2021 20:30:00 GMT",road,rainfall_storm_hurricane,yes_it_always_floods_here,HOLLYWOOD,,,8.0,Public,33024,,,,,,,-80.21856698,26.02366488,,2021-11-05 20:30:00,POINT (-80.218566977 26.023664884)
15,,6,"Sun, 07 Nov 2021 16:26:00 GMT",park_public_area,high_tide_tidal_flooding,sometimes,HOLLYWOOD,,,2.0,Public,33019,,,,,,,-80.1168274,26.0346297,,2021-11-07 16:26:00,POINT (-80.1168274 26.0346297)
16,,6,"Sun, 07 Nov 2021 16:47:09 GMT",park_public_area,high_tide_tidal_flooding,yes_it_always_floods_here,HOLLYWOOD,,,4.2,Public,33019,,,,,,,-80.13142089,26.00142955,,2021-11-07 16:47:09,POINT (-80.131420889 26.001429553)
17,,7,"Sun, 07 Nov 2021 16:47:11 GMT",park_public_area,high_tide_tidal_flooding,yes_it_always_floods_here,MIRAMAR,,,4.3,Public,33025,,,,,,,-80.2964028,25.97756533,,2021-11-07 16:47:11,POINT (-80.296402797 25.977565332)
18,,6,"Sun, 07 Nov 2021 16:15:00 GMT",park_public_area,high_tide_tidal_flooding,don't_know,HOLLYWOOD,,,5.0,Public,33019,,,,,,,-80.11676253,26.03482409,,2021-11-07 16:15:00,POINT (-80.116762529 26.0348240920001)
19,,8,"Fri, 05 Nov 2021 21:00:00 GMT",road,rainfall_storm_hurricane,don't_know,FORT LAUDERDALE,,,4.0,Public,33311,,,,,,,-80.14752679,26.12242298,,2021-11-05 21:00:00,POINT (-80.147526786 26.122422978)
20,,8,"Tue, 11 Jan 2022 22:18:00 GMT",road,rainfall_storm_hurricane,yes_it_always_floods_here,FORT LAUDERDALE,,,3.0,"Private,Public",33311,,,,,,,-80.14410142,26.13321644,,2022-01-11 22:18:00,POINT (-80.1441014229999 26.1332164400001)
21,"Birch State Park, Fort Lauderdale ",4,"Fri, 13 May 2022 13:17:09 GMT",park_public_area,high_tide_tidal_flooding,yes_it_always_floods_here,FORT LAUDERDALE,,,3.0,Public,33304,,,,,,,-80.10417382,26.14342817,,2022-05-13 13:17:09,POINT (-80.1041738179999 26.143428166)
22,"1058 Tupelo Way, Weston FL 33327",1,"Mon, 09 Nov 2020 13:15:00 GMT",road,rainfall_storm_hurricane,sometimes,WESTON,,,18.0,Private,33327,,,,,,,-80.41135896,26.12042001,,2020-11-09 13:15:00,POINT (-80.41135896 26.120420008)
23,"2965 NE 8th TER, Oakland park, FL, 33334",4,"Fri, 03 Jun 2022 22:28:00 GMT",road,rainfall_storm_hurricane,yes_it_always_floods_here,OAKLAND PARK,,,8.0,"Private,Public",33334,,,,,,,-80.1354438,26.16516319,,2022-06-03 22:28:00,POINT (-80.135443796 26.1651631870001)
24,2849 NE 21 Court,4,"Sat, 04 Jun 2022 13:24:00 GMT",road,rainfall_storm_hurricane,sometimes,FORT LAUDERDALE,,,68.0,Private,33324,,,,,,,-80.2964028,26.12068482,,2022-06-04 13:24:00,POINT (-80.107605645 26.152863805)
25,2965 NE 8TH TER,4,"Sat, 04 Jun 2022 14:00:00 GMT",road,rainfall_storm_hurricane,yes_it_always_floods_here,OAKLAND PARK,,,10.0,"Private,Public",33334,,,,,,,-80.13544089,26.16515561,,2022-06-04 14:00:00,POINT (-80.135440891 26.165155613)
26,13701 SW 24th St,5,"Sat, 04 Jun 2022 16:37:00 GMT",road,rainfall_storm_hurricane,often,DAVIE,,,12.0,Private,33324,,,,,,,-80.2964028,26.12068482,,2022-06-04 16:37:00,POINT (-80.331980694 26.0894860020001)
27,,6,"Sat, 04 Jun 2022 21:05:00 GMT",road,rainfall_storm_hurricane,yes_it_always_floods_here,HOLLYWOOD,,,5.0,Private,33020,,,,,,,-80.13628737,26.01248664,,2022-06-04 21:05:00,POINT (-80.1362873749999 26.012486638)
28,"Streets in Sunrise Intracoastal - NE 26th Street, NE 7th Place, NE 25th Street,Middle River Dr. ",4,"Sat, 04 Jun 2022 13:00:00 GMT",swale,rainfall_storm_hurricane,often,FORT LAUDERDALE,,,3.0,Public,33304,,,,,,,-80.11186682,26.13513356,,2022-06-04 13:00:00,POINT (-80.111866817 26.135133556)
29,4300 Anglers Avenue (Ravenswood Road),6,"Sat, 04 Jun 2022 16:00:00 GMT",road,rainfall_storm_hurricane,don't_know,DANIA BEACH,,Road R.O.W.,6.0,"Private,other",33312,,,,,,,-80.1685444,26.06954012,,2022-06-04 16:00:00,POINT (-80.1685443969999 26.069540116)
30,,5,"Sat, 04 Jun 2022 15:00:00 GMT",other,rainfall_storm_hurricane,sometimes,SUNRISE,residential area,Residential Street,5.0,other,33326,,,,,,,-80.35514854,26.11947105,,2022-06-04 15:00:00,POINT (-80.355148539 26.1194710460001)
31,Plantation road and 72nd Ave ,5,"Sun, 05 Jun 2022 15:00:00 GMT",other,rainfall_storm_hurricane,don't_know,PLANTATION,Water about two inches from top of culvert under road,,2.0,Private,33317,,,,,,,-80.24253977,26.13318565,,2022-06-05 15:00:00,POINT (-80.2425397659999 26.1331856530001)
32,"3300 W Commercial Blvd, Fort Lauderdale FL 33309",8,"Sat, 04 Jun 2022 17:00:00 GMT",road,rainfall_storm_hurricane,don't_know,OAKLAND PARK,,,2.0,Public,33309,,,,,,,-80.19131177,26.18578045,,2022-06-04 17:00:00,POINT (-80.19131177 26.1857804540001)
33,Fort Lauderdale ,4,"Mon, 06 Jun 2022 21:00:00 GMT",road,rainfall_storm_hurricane,yes_it_always_floods_here,FORT LAUDERDALE,,,4.0,Public,33311,,,,,,,-80.14400928,26.13428372,,2022-06-06 21:00:00,POINT (-80.14400928 26.1342837230001)
34,611 SW 12 Court,8,"Sat, 04 Jun 2022 17:07:00 GMT",road,rainfall_storm_hurricane,often,FORT LAUDERDALE,,,8.0,Private,33315,,,,,,,-80.14929199,26.10836053,,2022-06-04 17:07:00,POINT (-80.149291987 26.1083605310001)
35,,2,"Sat, 04 Jun 2022 19:00:00 GMT",road,rainfall_storm_hurricane,once_or_twice,MARGATE,,,6.0,Public,33063,,,,,,,-80.19409262,26.27024847,,2022-06-04 19:00:00,POINT (-80.194092616 26.270248474)
36,Sunflower Drive Lat 26.25165 Lon -80.22897,2,"Sat, 04 Jun 2022 13:30:00 GMT",road,rainfall_storm_hurricane,once_or_twice,MARGATE,,,6.0,Public,33063,,,,,,,-80.22896917,26.25165134,,2022-06-04 13:30:00,POINT (-80.228969175 26.2516513420001)
37,,9,"Sat, 25 Jun 2022 19:47:00 GMT",road,rainfall_storm_hurricane,don't_know,PLANTATION,,,6.0,Public,33317,,,,,,,-80.24099355,26.13540185,,2022-06-25 19:47:00,POINT (-80.2409935479999 26.135401847)
38,"901 Adams St, Hollywood, FL 33019",6,"Tue, 13 Sep 2022 16:45:00 GMT",road,high_tide_tidal_flooding,yes_it_always_floods_here,HOLLYWOOD,,,7.5,Private,33019,,,,,,,-80.12312098,26.00581001,,2022-09-13 16:45:00,POINT (-80.123120984 26.005810013)
39,,6,"Sun, 10 Nov 2019 01:37:00 GMT",private_yard,rainfall_storm_hurricane,sometimes,HOLLYWOOD,,,10.0,Private,33020,,,,,,,-80.14814766,26.01451533,,2019-11-10 01:37:00,POINT (-80.148147662 26.014515327)
40,"1903 S University Dr, Fort Lauderdale, Florida, 33324",5,"Fri, 08 Jun 2018 18:19:03 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33324,,,,,,,-80.25127443,26.09664158,,2018-06-08 18:19:03,POINT (-80.251274429 26.0966415820001)
41,"2310 Garfield St, Hollywood, Florida, 33020",6,"Sat, 22 Sep 2018 19:05:49 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33020,,,,,,,-80.15369656,26.02139169,,2018-09-22 19:05:49,POINT (-80.1536965559999 26.0213916860001)
42,"1201-1211 S South Lake Dr, Hollywood, Florida, 33019",6,"Sat, 06 Oct 2018 16:25:10 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.13096215,26.00729532,,2018-10-06 16:25:10,POINT (-80.130962153 26.0072953210001)
43,"1150 S South Lake Dr, Hollywood, Florida, 33019",6,"Sun, 07 Oct 2018 12:56:49 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.13007683,26.00654972,,2018-10-07 12:56:49,POINT (-80.130076828 26.0065497190001)
44,"1161 S South Lake Dr, Hollywood, Florida, 33019",6,"Sun, 07 Oct 2018 12:58:45 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.13005,26.00689722,,2018-10-07 12:58:45,POINT (-80.13005 26.0068972230001)
45,Longitude: -80.098 Latitude: 25.758,6,"Sun, 07 Oct 2018 12:59:13 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.098,25.758,,2018-10-07 12:59:13,POINT (-80.130046879 26.006838825)
46,"701-899 S South Lake Dr, Hollywood, Florida, 33019",6,"Sun, 07 Oct 2018 13:12:43 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.12211176,26.00559111,,2018-10-07 13:12:43,POINT (-80.122111765 26.005591108)
47,"711 Washington St, Hollywood, Florida, 33019",6,"Sun, 07 Oct 2018 13:20:38 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.12020113,26.00517397,,2018-10-07 13:20:38,POINT (-80.1202011299999 26.005173971)
48,Longitude: -80.119 Latitude: 26.005,6,"Sun, 07 Oct 2018 13:21:48 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.11865005,26.0052508,,2018-10-07 13:21:48,POINT (-80.118650052 26.005250801)
49,"987 Captiva Dr, Hollywood, Florida, 33019",6,"Sun, 07 Oct 2018 13:48:52 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.12509329,26.00401456,,2018-10-07 13:48:52,POINT (-80.125093286 26.004014559)
50,"1150 S South Lake Dr, Hollywood, Florida, 33019",6,"Sun, 29 Sep 2019 15:07:15 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33019,,,,,,,-80.12979182,26.00647461,,2019-09-29 15:07:15,POINT (-80.1297918179999 26.0064746100001)
51,"559 W Campus Cir, Fort Lauderdale, Florida, 33312",8,"Mon, 09 Nov 2020 11:59:36 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.19481501,26.11391402,,2020-11-09 11:59:36,POINT (-80.194815007 26.1139140170001)
52,"10101-10499 SW 20th St, Fort Lauderdale, Florida, 33324",5,"Tue, 10 Nov 2020 18:37:07 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33324,,,,,,,-80.28585861,26.09397173,,2020-11-10 18:37:07,POINT (-80.2858586099999 26.0939717270001)
53,"SW 17th Dr, Fort Lauderdale, Florida, 33324",5,"Tue, 10 Nov 2020 18:37:43 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33324,,,,,,,-80.28155556,26.09752778,,2020-11-10 18:37:43,POINT (-80.281555555 26.097527778)
54,"S Nob Hill Rd, Fort Lauderdale, Florida, 33324",5,"Tue, 10 Nov 2020 18:38:45 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33324,,,,,,,-80.28172222,26.10201389,,2020-11-10 18:38:45,POINT (-80.281722222 26.102013889)
55,"9842-9890 SR-84 E, Fort Lauderdale, Florida, 33324",5,"Tue, 10 Nov 2020 18:39:11 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33324,,,,,,,-80.27806111,26.10538889,,2020-11-10 18:39:11,POINT (-80.2780611109999 26.105388889)
56,"8471-8699 SW 30th St, Fort Lauderdale, Florida, 33328",5,"Tue, 10 Nov 2020 18:39:50 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.26184722,26.08335,,2020-11-10 18:39:50,POINT (-80.261847222 26.08335)
57,"8401-8599 SW 24th St, Fort Lauderdale, Florida, 33324",5,"Tue, 10 Nov 2020 18:40:26 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33324,,,,,,,-80.26138333,26.09040833,,2020-11-10 18:40:26,POINT (-80.261383333 26.090408333)
58,"2510 SW 81st Ave, Fort Lauderdale, Florida, 33324",5,"Tue, 10 Nov 2020 18:41:25 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33324,,,,,,,-80.25520278,26.088925,,2020-11-10 18:41:25,POINT (-80.255202777 26.088925)
59,"1870 SW 101st Ave, Fort Lauderdale, Florida, 33324",5,"Tue, 10 Nov 2020 18:41:52 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33324,,,,,,,-80.28237222,26.09606111,,2020-11-10 18:41:52,POINT (-80.282372223 26.096061111)
60,"631-699 NE 7th Ave, Fort Lauderdale, Florida, 33304",4,"Tue, 10 Nov 2020 18:59:59 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33304,,,,,,,-80.13612113,26.13169786,,2020-11-10 18:59:59,POINT (-80.1361211299999 26.1316978610001)
61,"15400-15498 NW 5th St, Pembroke Pines, Florida, 33028",1,"Tue, 10 Nov 2020 19:00:39 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33028,,,,,,,-80.34996782,26.01044632,,2020-11-10 19:00:39,POINT (-80.349967819 26.0104463170001)
62,"8400-8498 NW 47th Pl, Fort Lauderdale, Florida, 33351",9,"Tue, 10 Nov 2020 19:38:21 GMT",,rainfall_storm_hurricane,,LAUDERHILL,,,,,33351,,,,,,,-80.2635312,26.18342801,,2020-11-10 19:38:21,POINT (-80.263531197 26.1834280110001)
63,"1425 Arthur St, Hollywood, Florida, 33020",6,"Tue, 10 Nov 2020 20:02:51 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33020,,,,,,,-80.13622452,26.02282378,,2020-11-10 20:02:51,POINT (-80.136224516 26.022823783)
64,"1043-1099 SW 78th Ave, Pompano Beach, Florida, 33068",8,"Tue, 10 Nov 2020 20:22:03 GMT",,rainfall_storm_hurricane,,NORTH LAUDERDALE,,,,,33068,,,,,,,-80.2314343,26.21499509,,2020-11-10 20:22:03,POINT (-80.231434296 26.2149950940001)
65,"1829-1881 SW 62nd Ave, Pompano Beach, Florida, 33068",8,"Tue, 10 Nov 2020 20:26:53 GMT",,rainfall_storm_hurricane,,NORTH LAUDERDALE,,,,,33068,,,,,,,-80.2072515,26.20352988,,2020-11-10 20:26:53,POINT (-80.2072515 26.2035298810001)
66,7-Eleven,7,"Tue, 10 Nov 2020 20:42:19 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33024,,,,,,,-80.21632512,26.0322641,,2020-11-10 20:42:19,POINT (-80.216325121 26.032264098)
67,"15467 NW 5th St, Pembroke Pines, Florida, 33028",1,"Tue, 10 Nov 2020 20:50:18 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33028,,,,,,,-80.34996988,26.01053513,,2020-11-10 20:50:18,POINT (-80.349969883 26.0105351280001)
68,Boulevard Gardens Community Center,8,"Tue, 10 Nov 2020 20:54:35 GMT",,rainfall_storm_hurricane,,BMSD,,,,,33311,,,,,,,-80.18114,26.12478,,2020-11-10 20:54:35,POINT (-80.18114 26.12478)
69,"605 NE 14th Ct, Fort Lauderdale, Florida, 33304",4,"Tue, 10 Nov 2020 21:45:00 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33304,,,,,,,-80.13752076,26.14486695,,2020-11-10 21:45:00,POINT (-80.137520759 26.1448669530001)
70,"2100 NE 17th Ter, Fort Lauderdale, Florida, 33305",4,"Tue, 10 Nov 2020 21:57:20 GMT",,rainfall_storm_hurricane,,WILTON MANORS,,,,,33305,,,,,,,-80.12382721,26.15476775,,2020-11-10 21:57:20,POINT (-80.123827213 26.1547677450001)
71,"2117 NE 17th Ter, Fort Lauderdale, Florida, 33305",4,"Tue, 10 Nov 2020 21:59:14 GMT",,rainfall_storm_hurricane,,WILTON MANORS,,,,,33305,,,,,,,-80.12410502,26.15499498,,2020-11-10 21:59:14,POINT (-80.124105019 26.1549949820001)
72,"1301 NW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 10 Nov 2020 22:36:07 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39842702,26.01597999,,2020-11-10 22:36:07,POINT (-80.398427025 26.015979986)
73,"5400-5698 SW 13th St, Pompano Beach, Florida, 33068",8,"Tue, 10 Nov 2020 22:40:42 GMT",,rainfall_storm_hurricane,,NORTH LAUDERDALE,,,,,33068,,,,,,,-80.20109028,26.21159283,,2020-11-10 22:40:42,POINT (-80.201090284 26.2115928260001)
74,Plantation Park Elementary School,5,"Tue, 10 Nov 2020 22:43:11 GMT",,rainfall_storm_hurricane,,PLANTATION,,,,,33317,,,,,,,-80.22282,26.10966,,2020-11-10 22:43:11,POINT (-80.22282 26.1096600000001)
75,"4900 SW 87th Ave, Fort Lauderdale, Florida, 33328",5,"Tue, 10 Nov 2020 22:44:58 GMT",,rainfall_storm_hurricane,,COOPER CITY,,,,,33328,,,,,,,-80.26361616,26.06267792,,2020-11-10 22:44:58,POINT (-80.263616164 26.0626779240001)
76,"4670 NW 93rd Ave, Fort Lauderdale, Florida, 33351",3,"Tue, 10 Nov 2020 22:50:21 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33351,,,,,,,-80.2745945,26.18287961,,2020-11-10 22:50:21,POINT (-80.2745945 26.182879611)
77,"1594 NW 114th Ter, Fort Lauderdale, Florida, 33323",5,"Tue, 10 Nov 2020 22:50:38 GMT",,rainfall_storm_hurricane,,PLANTATION,,,,,33323,,,,,,,-80.30114909,26.14318667,,2020-11-10 22:50:38,POINT (-80.30114909 26.143186671)
78,"4940 SW 61st Ave, Fort Lauderdale, Florida, 33314",5,"Tue, 10 Nov 2020 22:51:46 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33314,,,,,,,-80.22708349,26.0599103,,2020-11-10 22:51:46,POINT (-80.22708349 26.059910297)
79,"2146-2170 SW 31st St, Fort Lauderdale, Florida, 33312",6,"Tue, 10 Nov 2020 23:18:56 GMT",,rainfall_storm_hurricane,,DANIA BEACH,,,,,33312,,,,,,,-80.17149173,26.083728,,2020-11-10 23:18:56,POINT (-80.1714917319999 26.0837280040001)
80,"16754 Golfview Dr, Fort Lauderdale, Florida, 33326",1,"Tue, 10 Nov 2020 23:19:56 GMT",,rainfall_storm_hurricane,,WESTON,,,,,33326,,,,,,,-80.37995621,26.11787865,,2020-11-10 23:19:56,POINT (-80.379956212 26.1178786470001)
81,"Dudley Rd, Fort Lauderdale, Florida, 33328",5,"Tue, 10 Nov 2020 23:21:23 GMT",,rainfall_storm_hurricane,,COOPER CITY,,,,,33328,,,,,,,-80.26933443,26.04754838,,2020-11-10 23:21:23,POINT (-80.269334434 26.0475483820001)
82,"2155-2183 SW 31st St, Fort Lauderdale, Florida, 33312",6,"Tue, 10 Nov 2020 23:23:15 GMT",,rainfall_storm_hurricane,,DANIA BEACH,,,,,33312,,,,,,,-80.17151855,26.08377137,,2020-11-10 23:23:15,POINT (-80.171518554 26.0837713670001)
83,"5881 Bristol Ln, Fort Lauderdale, Florida, 33331",5,"Tue, 10 Nov 2020 23:26:36 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33331,,,,,,,-80.35104002,26.045335,,2020-11-10 23:26:36,POINT (-80.351040019 26.045335003)
84,"Forest Ridge Blvd, Fort Lauderdale, Florida, 33328",5,"Wed, 11 Nov 2020 00:02:35 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.26510992,26.08121504,,2020-11-11 00:02:35,POINT (-80.265109921 26.081215039)
85,"Oak Grove Cir, Fort Lauderdale, Florida, 33328",5,"Wed, 11 Nov 2020 00:06:42 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.2728149,26.08758005,,2020-11-11 00:06:42,POINT (-80.2728149019999 26.0875800470001)
86,"694 Middle River Dr, Fort Lauderdale, Florida, 33304",4,"Wed, 11 Nov 2020 00:46:03 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33304,,,,,,,-80.1141583,26.1331898,,2020-11-11 00:46:03,POINT (-80.1141583 26.1331898)
87,"NW 18th St, Hollywood, Florida, 33026",7,"Wed, 11 Nov 2020 00:52:41 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33026,,,,,,,-80.29369988,26.02288504,,2020-11-11 00:52:41,POINT (-80.29369988 26.0228850400001)
88,"556 NW 97th Ave, Fort Lauderdale, Florida, 33324",5,"Wed, 11 Nov 2020 02:57:00 GMT",,rainfall_storm_hurricane,,PLANTATION,,,,,33324,,,,,,,-80.27861199,26.128407,,2020-11-11 02:57:00,POINT (-80.278611993 26.1284069970001)
89,"9071 Lake Park Cir N, Fort Lauderdale, Florida, 33328",5,"Wed, 11 Nov 2020 03:08:07 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.26968904,26.089953,,2020-11-11 03:08:07,POINT (-80.269689038 26.089953005)
90,"15131 Windbluff St, Fort Lauderdale, Florida, 33331",5,"Wed, 11 Nov 2020 03:28:30 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33331,,,,,,,-80.35049302,26.037762,,2020-11-11 03:28:30,POINT (-80.350493016 26.037761996)
91,"10401-10599 NW 17th St, Fort Lauderdale, Florida, 33322",9,"Wed, 11 Nov 2020 08:05:54 GMT",,rainfall_storm_hurricane,,PLANTATION,,,,,33322,,,,,,,-80.28902473,26.14438088,,2020-11-11 08:05:54,POINT (-80.2890247299999 26.1443808810001)
92,"17600 SW 7th St, Hollywood, Florida, 33029",1,"Wed, 11 Nov 2020 13:23:27 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.38173698,25.99982701,,2020-11-11 13:23:27,POINT (-80.381736979 25.999827011)
93,"10481 NW 17th St, Fort Lauderdale, Florida, 33322",9,"Wed, 11 Nov 2020 13:50:30 GMT",,rainfall_storm_hurricane,,PLANTATION,,,,,33322,,,,,,,-80.2892365,26.14452367,,2020-11-11 13:50:30,POINT (-80.289236499 26.144523674)
94,"76 Forest Cir, Hollywood, Florida, 33026",5,"Wed, 11 Nov 2020 14:21:13 GMT",,rainfall_storm_hurricane,,COOPER CITY,,,,,33026,,,,,,,-80.30545863,26.04172575,,2020-11-11 14:21:13,POINT (-80.305458625 26.0417257460001)
95,"8390 NW 26th Pl, Fort Lauderdale, Florida, 33322",9,"Wed, 11 Nov 2020 15:09:56 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33322,,,,,,,-80.26035789,26.15777059,,2020-11-11 15:09:56,POINT (-80.260357885 26.157770586)
96,"8397 NW 26th St, Fort Lauderdale, Florida, 33322",9,"Wed, 11 Nov 2020 15:11:57 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33322,,,,,,,-80.260551,26.15759002,,2020-11-11 15:11:57,POINT (-80.260551004 26.1575900190001)
97,"1865 Salerno Cir, Fort Lauderdale, Florida, 33327",1,"Wed, 11 Nov 2020 15:31:40 GMT",,rainfall_storm_hurricane,,WESTON,,,,,33327,,,,,,,-80.41517778,26.13793889,,2020-11-11 15:31:40,POINT (-80.415177778 26.1379388890001)
