,original_reference_no,original_request_type,original_status,original_priority,original_assigned_dept,original_date,formatted,lat,lon,geometry
19,W083290-092223,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,9/22/2023 9:11 AM,"6906 Prado Boulevard, Coral Gables, FL 33143, United States of America",25.70370385,-80.25730449,POINT (-80.25730449 25.70370385)
20,W083245-091923,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,9/19/2023 2:09 PM,"301 Santander Avenue, Coral Gables, FL 33134, United States of America",25.7434403,-80.2606912,POINT (-80.2606912 25.7434403)
21,W083201-091523,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,9/15/2023 2:10 PM,"10101 Lakeside Drive, Coral Gables, FL 33156, United States of America",25.6773146,-80.2784837,POINT (-80.2784837 25.6773146)
22,W083121-091123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,9/11/2023 10:21 AM,"641 Sevilla Avenue, Coral Gables, FL 33134, United States of America",25.7457062,-80.26824293,POINT (-80.26824293 25.7457062)
23,W082927-083023,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,8/30/2023 4:50 PM,"816 Granada Boulevard, Coral Gables, FL 33134, United States of America",25.7632295,-80.27579781,POINT (-80.27579781 25.7632295)
24,W082918-083023,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,8/30/2023 3:02 PM,"5004 Le Jeune Road, Coral Gables, FL 33146-0000, United States of America",25.724049,-80.261832,POINT (-80.261832 25.724049)
25,W082865-082823,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,8/28/2023 3:25 PM,"5230 Alhambra Circle, Coral Gables, FL 33146, United States of America",25.72088625,-80.28419188,POINT (-80.28419188 25.72088625)
26,W082711-082123,Storm Drain/ Catch Basin,Completed,Medium,PW- Right of Way,8/21/202310:31 AM,"5575 Oakwood Lane, Coral Gables, FL 33156, United States of America",25.6850321,-80.28316954,POINT (-80.28316954 25.6850321)
27,W082707-082123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,8/21/2023 9:58 AM,"5610 South Le Jeune Road, Coral Gables, FL 33146, United States of America",25.71792133,-80.26162048,POINT (-80.26162048 25.71792133)
28,W082621-081523,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,8/15/2023 4:00 PM,"6902 Sunrise Drive, Coral Gables, FL 33133, United States of America",25.7065269,-80.2468859,POINT (-80.2468859 25.7065269)
29,W082537-081123,(Internal) - Drainage Assessments/Improvements,Completed,Medium,PW - Utilities,8/11/2023 10:18 AM,"400 Valencia Avenue, Coral Gables, FL 33134, United States of America",25.74720345,-80.26283403,POINT (-80.26283403 25.74720345)
30,W082493-080923,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,8/9/2023 9:46 AM,"7920 Los Pinos Boulevard, Coral Gables, FL 33143, United States of America",25.6982346,-80.2629436,POINT (-80.2629436 25.6982346)
31,W082450-080723,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,817/2023 2:14 PM,"6612 San Vicente Street, Coral Gables, FL 33146, United States of America",25.7088769,-80.26211311,POINT (-80.26211311 25.7088769)
32,W081381-080223,(Internal) - Drainage Assessments/Improvements,Completed,Medium,PW - Utilities,8/2/2023 1:46 PM,"214 Giralda Avenue, Coral Gables, FL 33134, United States of America",25.7510402,-80.2590188,POINT (-80.2590188 25.7510402)
33,W081355-080123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,8/1/2023 2:14 PM,"5500 Hammock Drive, Coral Gables, FL 33156, United States of America",25.6853243,-80.2827716,POINT (-80.2827716 25.6853243)
34,W081345-080123,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,8/1/2023 1:10 PM,"165 East Sunrise Avenue, Coral Gables, FL 33133, United States of America",25.7081884,-80.2476947,POINT (-80.2476947 25.7081884)
35,W081115-072123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,7/21/2023 2:58 PM,"605 Majorca Avenue, Coral Gables, FL 33134, United States of America",25.7548076,-80.2673346,POINT (-80.2673346 25.7548076)
36,W081048-071923,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,7/19/2023 12:09 PM,"835 Malaga Avenue, Coral Gables, FL 33134, United States of America",25.74280365,-80.2720082,POINT (-80.2720082 25.74280365)
37,W081044-071923,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,7/19/2023 11:35 AM,"245 Candia Avenue, Coral Gables, FL 33134, United States of America",25.7365547,-80.25989956,POINT (-80.25989956 25.7365547)
38,W080977-071723,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,7/17/2023 8:09 PM,"730 Anastasia Avenue, Coral Gables, FL 33134, United States of America",25.741529,-80.26934448,POINT (-80.26934448 25.741529)
39,W080955-071723,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,7/17/202310:51 AM,"145 Orquidea Avenue, Coral Gables, FL 33143, United States of America",25.7016031,-80.2526679,POINT (-80.2526679 25.7016031)
40,W080887-071323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,7/13/2023 8:48 PM,"918 Santiago Street, Coral Gables, FL 33134, United States of America",25.7621203,-80.27272353,POINT (-80.27272353 25.7621203)
41,W080872-071323,(Internal) - Drainage Assessments/Improvements,Completed,Medium,PW - Utilities,7/13/2023 2:12 PM,"7010 Almansa Street, Coral Gables, FL 33143, United States of America",25.7045863,-80.2653683,POINT (-80.2653683 25.7045863)
42,W080819-071123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,7/11/2023 1:36 PM,"1552 Palermo Avenue, Coral Gables, FL 33134, United States of America",25.7436613,-80.28645689,POINT (-80.28645689 25.7436613)
43,W080783-071023,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,7/10/2023 11:57 AM,"6900 Mira Flores Avenue, Coral Gables, FL 33143, United States of America",25.7022644,-80.2532347,POINT (-80.2532347 25.7022644)
44,W080641 -070323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,7/3/2023 12:48 PM,"400 Savona Avenue, Coral Gables, FL 33146, United States of America",25.71400415,-80.26143789,POINT (-80.26143789 25.71400415)
45,W080640-070323,Storm Drain/ Catch Basin,Completed,Medium,PW- Central and Engineering,7/3/2023 12:35 PM,"9300 Old Cutler Road, Coral Gables, FL 33156, United States of America",25.6851163,-80.2731034,POINT (-80.2731034 25.6851163)
46,W080621-070223,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,7/2/2023 2:28 PM,"3703 Anderson Road, Coral Gables, FL 33134, United States of America",25.73703375,-80.27005124,POINT (-80.27005124 25.73703375)
47,W080616-070123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,7/1/2023 4:18 PM,"515 Valencia Avenue, Coral Gables, FL 33134, United States of America",25.7475886,-80.2652858,POINT (-80.2652858 25.7475886)
48,W080532-062823,(Internal) - Drainage Assessments/Improvements,Completed,Medium,PW- Central and Engineering,6/28/2023 10:50 AM,"1136 Alhambra Circle, Coral Gables, FL 33134, United States of America",25.75362195,-80.27873855,POINT (-80.27873855 25.75362195)
49,W080495-062723,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/27/2023 9:25 AM,"811 Almeria Avenue, Coral Gables, FL 33134, United States of America",25.7463872,-80.27148853,POINT (-80.27148853 25.7463872)
50,W080458-062523,Storm Drain/ Catch Basin,Completed,High,PW - Utilities,6/25/2023 5:09 PM,"430 Marmore Avenue, Coral Gables, FL 33146, United States of America",25.7153943,-80.26249845,POINT (-80.26249845 25.7153943)
51,W080448-062323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/23/2023 4:56 PM,"7140 Lago Drive West, Coral Gables, FL 33143, United States of America",25.701048,-80.257612,POINT (-80.257612 25.701048)
52,W080447-062323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/23/2023 4:50 PM,"7195 Lago Drive East, Coral Gables, FL 33143, United States of America",25.699004,-80.25576,POINT (-80.25576 25.699004)
53,W080445-062323,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/23/2023 4:34 PM,"1406 Ferdinand Street, Coral Gables, FL 33134, United States of America",25.75782585,-80.28564198,POINT (-80.28564198 25.75782585)
54,W080440-062323,(Internal) - Drainage Assessments/Improvements,In Progress,Medium,PW- Central and Engineering,6/23/2023 3:39 PM,"1248 Mariola Court, Coral Gables, FL 33134, United States of America",25.734842,-80.27892694,POINT (-80.27892694 25.734842)
55,W080439-062323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/23/2023 3:19 PM,"1248 Mariola Court, Coral Gables, FL 33134, United States of America",25.734842,-80.27892694,POINT (-80.27892694 25.734842)
56,W080425-062323,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/23/2023 1:45 PM,"805 Milan Avenue, Coral Gables, FL 33134, United States of America",25.75742315,-80.27155907,POINT (-80.27155907 25.75742315)
57,W080403-062223,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/22/2023 2:31 PM,"6920 Prado Boulevard, Coral Gables, FL 33143, United States of America",25.70387945,-80.25759865,POINT (-80.25759865 25.70387945)
58,W080387-062223,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/22/2023 10:33 AM,"125 San Sebastian Avenue, Coral Gables, FL 33134, United States of America",25.7429268,-80.25723607,POINT (-80.25723607 25.7429268)
59,W080364-0621 23,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/21/2023 2:02 PM,"1115 Almeria Avenue, Coral Gables, FL 33134, United States of America",25.7462581,-80.2777848,POINT (-80.2777848 25.7462581)
60,W080355-0621 23,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/21/2023 12:08 PM,"2617 North Greenway Drive, Coral Gables, FL 33134, United States of America",25.74605495,-80.28324463,POINT (-80.28324463 25.74605495)
61,W080345-0621 23,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/21/2023 9:22 AM,"2504 Madrid Street, Coral Gables, FL 33134, United States of America",25.7474946,-80.2819536,POINT (-80.2819536 25.7474946)
62,W080344-062123,(Internal) - Drainage Assessments/Improvements,Completed,Medium,PW- Central and Engineering,6/21/2023 9:01 AM,"1551 Delgado Avenue, Coral Gables, FL 33146, United States of America",25.7162588,-80.28555117,POINT (-80.28555117 25.7162588)
63,W080309-062023,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/20/2023 1:28 PM,"Murcia Avenue, Coral Gables, FL 33134, United States of America",25.73753814,-80.28648611,POINT (-80.28648611 25.73753814)
64,W080304-062023,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/20/2023 12:05 PM,"1421 Milan Avenue, Coral Gables, FL 33134, United States of America",25.756947,-80.28426023,POINT (-80.28426023 25.756947)
65,W080300-062023,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/20/2023 11:36 AM,"6910 Tordera Street, Coral Gables, FL 33146, United States of America",25.70626755,-80.26613273,POINT (-80.26613273 25.70626755)
66,W080286-062023,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/20/2023 10:14 AM,"914 Country Club Prado, Coral Gables, FL 33134, United States of America",25.7619365,-80.28717287,POINT (-80.28717287 25.7619365)
67,W080284-062023,(Internal) - Drainage Assessments/Improvements,Completed,Medium,PW- Central and Engineering,6/20/2023 10:04 AM,"2623 North Greenway Drive, Coral Gables, FL 33134, United States of America",25.74584235,-80.2832433,POINT (-80.2832433 25.74584235)
68,W080279-062023,(Internal) - Drainage Assessments/Improvements,Completed,Medium,PW- Central and Engineering,6/20/2023 9:53 AM,"1551 Delgado Avenue, Coral Gables, FL 33146, United States of America",25.7162588,-80.28555117,POINT (-80.28555117 25.7162588)
69,W080274-062023,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/20/2023 9:01 AM,"1422 Milan Avenue, Coral Gables, FL 33134, United States of America",25.7565715,-80.28433099,POINT (-80.28433099 25.7565715)
70,W080177-061423,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/14/2023 1:47 PM,"1236 Obispo Avenue, Coral Gables, FL 33134, United States of America",25.75478765,-80.28088669,POINT (-80.28088669 25.75478765)
71,W080108-061223,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/12/2023 3:06 PM,"2603 Ponce de Leon Boulevard, Coral Gables, FL 33134, United States of America",25.7477477,-80.2582256,POINT (-80.2582256 25.7477477)
72,W080077-060923,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/9/2023 3:27 PM,"5536 Maggiore Street, Coral Gables, FL 33146, United States of America",25.7183792,-80.26388345,POINT (-80.26388345 25.7183792)
73,W079990-060623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/6/2023 12:05 PM,"41 East Sunrise Avenue, Coral Gables, FL 33133, United States of America",25.70800905,-80.25043547,POINT (-80.25043547 25.70800905)
74,W079986-060623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/6/2023 10:55 AM,"6815 Edgewater Drive, Coral Gables, FL 33133, United States of America",25.7073235,-80.2516442,POINT (-80.2516442 25.7073235)
75,W079985-060623,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/6/2023 10:54 AM,"1012 Castile Avenue, Coral Gables, FL 33134, United States of America",25.74954175,-80.27574446,POINT (-80.27574446 25.74954175)
76,W079982-060623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/6/2023 10:01 AM,"1525 Albenga Avenue, Coral Gables, FL 33146, United States of America",25.71405845,-80.28390173,POINT (-80.28390173 25.71405845)
77,W079981-060623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/6/2023 9:58 AM,"1527 Corniche Avenue, Coral Gables, FL 33146, United States of America",25.7148668,-80.2845931,POINT (-80.2845931 25.7148668)
78,W079980-060623,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,6/6/2023 9:49 AM,"7230 Monaco Street, Coral Gables, FL 33143, United States of America",25.70220164,-80.25968186,POINT (-80.25968186 25.70220164)
79,W079979-060623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/6/2023 9:47 AM,"7230 Monaco Street, Coral Gables, FL 33143, United States of America",25.70220164,-80.25968186,POINT (-80.25968186 25.70220164)
80,W079973-060623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,6/6/2023 8:51 AM,"5727 Michelangelo Street, Coral Gables, FL 33146, United States of America",25.71585055,-80.26886861,POINT (-80.26886861 25.71585055)
81,W079927-060423,Storm Drain/ Catch Basin,Completed,Medium,PW- Central and Engineering,6/4/2023 8:01 PM,"Coral Gables, FL, United States of America",25.68991467,-80.27916744,POINT (-80.27916744 25.68991467)
82,W079872-060123,Storm Drain/ Catch Basin,Completed,Medium,"PW-
Greenspace Management",6/1/2023 8:06 AM,"Coral Gables, FL, United States of America",25.63708078,-80.29403096,POINT (-80.29403096 25.63708078)
83,W079848-053023,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,5/30/2023 4:41 PM,"2111 Alhambra Circle, Coral Gables, FL 33134, United States of America",25.7506012,-80.28473188,POINT (-80.28473188 25.7506012)
84,W079797-052623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/26/2023 3:59 PM,"100 Madeira Avenue, Coral Gables, FL 33134, United States of America",25.7558477,-80.2570741,POINT (-80.2570741 25.7558477)
85,W079796-052623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/26/2023 3:52 PM,"260 Majorca Avenue, Coral Gables, FL 33134, United States of America",25.7549058,-80.260702,POINT (-80.260702 25.7549058)
86,W079795-052623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/26/2023 3:35 PM,"323 Navarre Avenue, Coral Gables, FL 33134, United States of America",25.7544907,-80.26205509,POINT (-80.26205509 25.7544907)
87,W079794-052623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/26/2023 3:32 PM,"2334 Ponce de Leon Boulevard, Coral Gables, FL 33134, United States of America",25.750365,-80.258756,POINT (-80.258756 25.750365)
88,W079793-052623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/26/2023 3:24 PM,"1929 Ponce de Leon Boulevard, Coral Gables, FL 33134, United States of America",25.7546341,-80.2584943,POINT (-80.2584943 25.7546341)
89,W079764-052523,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/25/2023 12:00 PM,"323 Fluvia Avenue, Coral Gables, FL 33134, United States of America",25.73716945,-80.26113858,POINT (-80.26113858 25.73716945)
90,W079753-052523,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,5/25/2023 11:22 AM,"323 Fluvia Avenue, Coral Gables, FL 33134, United States of America",25.73716945,-80.26113858,POINT (-80.26113858 25.73716945)
91,W079693-052323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/23/2023 1:51 PM,"640 Santander Avenue, Coral Gables, FL 33134, United States of America",25.7423943,-80.26788485,POINT (-80.26788485 25.7423943)
92,W079639-052223,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,5/22/2023 9:47 AM,"1570 Sopera Avenue, Coral Gables, FL 33134, United States of America",25.73459195,-80.28633405,POINT (-80.28633405 25.73459195)
93,W079617-051923,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/19/2023 2:57 PM,"226 Santillane Avenue, Coral Gables, FL 33134, United States of America",25.7618229,-80.2602361,POINT (-80.2602361 25.7618229)
94,W079564-051823,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/18/2023 9:55 AM,"1120 Andalusia Avenue, Coral Gables, FL 33134, United States of America",25.74766933,-80.2775758,POINT (-80.2775758 25.74766933)
95,W079561-051823,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/18/2023 8:29 AM,"4430 Santa Maria Street, Coral Gables, FL 33146, United States of America",25.7300081,-80.27841734,POINT (-80.27841734 25.7300081)
96,W079556-051723,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/17/2023 3:48 PM,"4960 Riviera Drive, Coral Gables, FL 33146, United States of America",25.72468645,-80.2671624,POINT (-80.2671624 25.72468645)
97,W079552-051723,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,5/17/2023 3:15 PM,"4430 Santa Maria Street, Coral Gables, FL 33146, United States of America",25.7300081,-80.27841734,POINT (-80.27841734 25.7300081)
98,W079446-051223,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,5/12/2023 2:09 PM,"638 Velarde Avenue, Coral Gables, FL 33134, United States of America",25.7351467,-80.26769778,POINT (-80.26769778 25.7351467)
99,W079205-050223,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,5/2/2023 3:08 PM,"4421 Santa Maria Street, Coral Gables, FL 33146, United States of America",25.7301265,-80.27784441,POINT (-80.27784441 25.7301265)
100,W079203-050223,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,5/2/2023 2:54 PM,"4510 Santa Maria Street, Coral Gables, FL 33146, United States of America",25.72964105,-80.27837463,POINT (-80.27837463 25.72964105)
101,W078973-042423,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,4/24/2023 4:51 PM,"Isla Dorada Boulevard, Coral Gables, FL 33143, United States of America",25.69882664,-80.25542532,POINT (-80.25542532 25.69882664)
102,W078961-042423,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/24/2023 2:07 PM,"720 Coral Way, Coral Gables, FL 33134, United States of America",25.748755,-80.269795,POINT (-80.269795 25.748755)
103,W078830-042023,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/20/2023 10:31 AM,"1556 Palermo Avenue, Coral Gables, FL 33134, United States of America",25.7436396,-80.28670691,POINT (-80.28670691 25.7436396)
104,W078722-041723,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/17/2023 11:59 AM,"4950 South Le Jeune Road, Coral Gables, FL 33146, United States of America",25.724788,-80.261952,POINT (-80.261952 25.724788)
105,W078672-041423,(Internal) - Drainage Assessments/Improvements,Completed,Medium,PW- Central and Engineering,4/14/2023 1:26 PM,"1121 Wallace Street, Coral Gables, FL 33134, United States of America",25.76040205,-80.27741363,POINT (-80.27741363 25.76040205)
106,W078639-041423,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/14/2023 8:59 AM,"812 Valencia Avenue, Coral Gables, FL 33134, United States of America",25.7467749,-80.27149367,POINT (-80.27149367 25.7467749)
107,W078627-041323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/13/2023 8:00 PM,"812 Valencia Avenue, Coral Gables, FL 33134, United States of America",25.7467749,-80.27149367,POINT (-80.27149367 25.7467749)
108,W078595-041323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/13/2023 10:50 AM,"141 Solano Prado, Coral Gables, FL 33156, United States of America",25.6828047,-80.2606768,POINT (-80.2606768 25.6828047)
109,W078578-041323,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,4/13/2023 8:17 AM,"817 Sevilla Avenue, Coral Gables, FL 33134, United States of America",25.7455477,-80.2714566,POINT (-80.2714566 25.7455477)
110,W078559-041223,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/12/2023 8:32 AM,"816 Granada Boulevard, Coral Gables, FL 33134, United States of America",25.7632295,-80.27579781,POINT (-80.27579781 25.7632295)
111,W078553-041123,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/11/2023 6:00 PM,"3701 Durango Street, Coral Gables, FL 33134, United States of America",25.73749855,-80.27332236,POINT (-80.27332236 25.73749855)
112,W078515-041 023,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,4/10/2023 4:45 PM,"1123 Sorolla Avenue, Coral Gables, FL 33134, United States of America",25.75632815,-80.27798672,POINT (-80.27798672 25.75632815)
113,W078260-033123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,3/31/2023 1:43 PM,"4607 Alhambra Circle, Coral Gables, FL 33146, United States of America",25.72841835,-80.28397943,POINT (-80.28397943 25.72841835)
114,W078242-033123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,3/31/2023 10:37 AM,"7010 Almansa Street, Coral Gables, FL 33143, United States of America",25.7045863,-80.2653683,POINT (-80.2653683 25.7045863)
115,W078239-033123,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,3/31/2023 10:0S AM,"608 Alcazar Avenue, Coral Gables, FL 33134, United States of America",25.7521313,-80.26742661,POINT (-80.26742661 25.7521313)
